term,koefisien,standard_error_cluster,t_statistic,p_value,ci95_low,ci95_high
const,71.55257473040606,24.047367516384888,2.9754847253718344,0.005353744599233474,22.68244413168761,120.42270532912451
uhh,-0.684983383100913,0.3855356705377668,-1.7767055954782596,0.08456567934174528,-1.4684861326974143,0.09851936649558846
hls,0.20261243920471417,1.1925144459821326,0.1699035511790772,0.8660929312152353,-2.220868495924536,2.6260933743339643
rls,-0.9096608928370674,0.6844219659501944,-1.3290936558036532,0.19266757390215053,-2.3005736751957886,0.4812518895216539
pengeluaran_per_kapita_disesuaikan,-0.000284923869914568,0.00032239587444472047,-0.8837702107860638,0.3830270726817214,-0.0009401111155815358,0.0003702633757523998
tpt,-0.23514020213788495,0.2135374373996876,-1.1011661702100624,0.27855919214298835,-0.6691004868271762,0.19882008255140626
