Varian,Model,Jumlah fitur,MAE,RMSE,R2
Model utama,Multiple Linear Regression,5,1.7313515558434127,2.157877195830719,0.3979564300494446
Model utama,Random Forest,5,1.098952743048215,1.4423787238558048,0.7310118880581464
Tanpa HLS,Multiple Linear Regression,4,1.7382905120931953,2.1627710870993715,0.3952225610397908
Tanpa HLS,Random Forest,4,1.4004905628392779,1.745043883946103,0.6062802711793613
Tanpa pengeluaran per kapita,Multiple Linear Regression,4,1.7984373512672176,2.255983891228325,0.34196883927379473
Tanpa pengeluaran per kapita,Random Forest,4,1.0572383834261008,1.3342791908504914,0.7698198349207623
