Model,MAE,RMSE,R2,MAE_CI95_low,MAE_CI95_high
Random Forest,1.098952743048215,1.4423787238558048,0.7310118880581464,0.8020196848347506,1.4193070875920766
Multiple Linear Regression,1.7313515558434127,2.157877195830719,0.3979564300494446,1.3157313782964117,2.182322514325009
Dummy Baseline,2.643568979591837,3.1672149532357294,-0.2969688624847704,2.042733632653062,3.2594788571428577
