fitur,R2_auxiliary,VIF
rls,0.8869818763656393,8.848138403316861
hls,0.8596292158285945,7.123989553117472
uhh,0.7032097732854322,3.3693831871415716
pengeluaran_per_kapita_disesuaikan,0.6665759802838094,2.9991840445424316
tpt,0.4238593093721884,1.7356871616033847
