fitur,importance_mean,importance_std
rls,1.3637160522927727,0.18155460041904978
hls,0.9345375094356265,0.1304858111664212
uhh,0.2381190057319206,0.054919884163110645
pengeluaran_per_kapita_disesuaikan,0.1785638923280415,0.04545346816334946
tpt,0.10526909611992886,0.03287419388118538
